Date (GMT+1),Non-Renewable,Renewable
,Power (MW),Power (MW)
2024-01-05T16:15+01:00,23866.77842,33320.37514
2024-01-05T16:30+01:00,23977.27857,33417.11611
2024-01-05T16:45+01:00,24097.04866,33542.29422
2024-01-05T17:00+01:00,24253.33112,33661.90928
2024-01-05T17:15+01:00,24322.8614,33875.63352
2024-01-05T17:30+01:00,24689.82156,34014.41918
2024-01-05T17:45+01:00,24353.95202,33987.6206
2024-01-05T18:00+01:00,24378.57951,33713.35018
2024-01-05T18:15+01:00,24676.74342,33819.37878
2024-01-05T18:30+01:00,24374.6012,33979.24257
2024-01-05T18:45+01:00,24674.84602,33812.94906
2024-01-05T19:00+01:00,24993.03486,34176.60705
2024-01-05T19:15+01:00,25177.48389,33931.04275
2024-01-05T19:30+01:00,25165.87469,33657.5877
2024-01-05T19:45+01:00,25210.21717,33280.35136
2024-01-05T20:00+01:00,25143.1098,33151.90944
2024-01-05T20:15+01:00,25152.10864,32814.13983
2024-01-05T20:30+01:00,24942.16931,32400.89844
2024-01-05T20:45+01:00,24619.79114,32137.66993
2024-01-05T21:00+01:00,24164.65488,32051.1411
2024-01-05T21:15+01:00,23907.5448,31646.39733
2024-01-05T21:30+01:00,23210.42849,31179.59822
2024-01-05T21:45+01:00,22901.74269,30969.4694
2024-01-05T22:00+01:00,23045.03,30374.73495
2024-01-05T22:15+01:00,22848.61475,29935.80765
2024-01-05T22:30+01:00,22389.15566,29605.76616
2024-01-05T22:45+01:00,21712.03021,29083.24402
2024-01-05T23:00+01:00,20828.75995,28673.39048
2024-01-05T23:15+01:00,20465.77393,28120.55594
2024-01-05T23:30+01:00,20305.26395,27717.69621
2024-01-05T23:45+01:00,19883.68852,27298.20278
2024-01-06T00:00+01:00,19626.75363,26906.87699
2024-01-06T00:15+01:00,19425.93078,26731.7005
2024-01-06T00:30+01:00,19421.24915,26058.58452
2024-01-06T00:45+01:00,19259.98562,25676.97067
2024-01-06T01:00+01:00,19035.82735,25273.65848
2024-01-06T01:15+01:00,18884.22057,24907.08721
2024-01-06T01:30+01:00,18842.59182,24736.28273
2024-01-06T01:45+01:00,18758.91107,24535.84315
2024-01-06T02:00+01:00,18645.97407,24308.11084
2024-01-06T02:15+01:00,18460.69581,24068.47755
2024-01-06T02:30+01:00,18355.80811,23836.78278
2024-01-06T02:45+01:00,18296.91869,23645.54702
2024-01-06T03:00+01:00,18316.33106,23537.44361
2024-01-06T03:15+01:00,18239.28846,23332.62682
2024-01-06T03:30+01:00,18274.8046,23180.94253
2024-01-06T03:45+01:00,18264.00434,23078.4984
2024-01-06T04:00+01:00,18357.83841,23022.63345
2024-01-06T04:15+01:00,18442.14611,23034.36179
2024-01-06T04:30+01:00,18456.09971,22985.12855
2024-01-06T04:45+01:00,18475.74958,22865.72715
2024-01-06T05:00+01:00,18572.81574,22801.47404
2024-01-06T05:15+01:00,18627.567,22630.77481
2024-01-06T05:30+01:00,18696.2684,22489.04518
2024-01-06T05:45+01:00,18799.29602,22527.67485
2024-01-06T06:00+01:00,18832.92257,22793.39477
2024-01-06T06:15+01:00,18959.8036,22793.35252
2024-01-06T06:30+01:00,19213.11227,22697.17079
2024-01-06T06:45+01:00,19434.61914,22774.15689
2024-01-06T07:00+01:00,20013.30976,22723.74613
